"station_id","hour_of_day","departures","arrivals","net_bikes","ebike_available"
"",10,1,5,4,1
"",12,1,3,2,1
"2733.03",1,1,1,0,0
"2733.03",8,1,0,-1,0
"2733.03",16,1,0,-1,0
"2733.03",17,1,1,0,0
"2733.03",18,2,1,-1,0
"2733.03",23,1,1,0,0
"2782.02",7,1,0,-1,0
"2782.02",8,1,0,-1,0
"2782.02",9,1,0,-1,0
"2782.02",14,1,0,-1,0
"2782.02",17,2,1,-1,0
"2782.02",18,1,1,0,0
"2821.05",18,1,1,0,0
"2821.05",19,1,0,-1,0
"2821.05",20,2,0,-2,0
"2821.05",21,1,0,-1,0
"2832.03",6,1,0,-1,0
"2832.03",11,1,0,-1,0
"2832.03",12,1,0,-1,0
"2832.03",14,1,0,-1,0
"2832.03",16,1,0,-1,0
"2832.03",17,1,0,-1,0
"2861.02",6,1,0,-1,0
"2861.02",7,1,0,-1,0
"2861.02",13,1,2,1,1
"2861.02",18,1,0,-1,0
"2861.02",19,1,1,0,0
"2861.02",21,1,0,-1,0
"2872.02",4,1,0,-1,0
"2872.02",13,1,0,-1,0
"2872.02",14,1,0,-1,0
"2883.03",8,1,0,-1,0
"2883.03",12,1,0,-1,0
"2898.01",1,1,0,-1,0
"2898.01",16,1,0,-1,0
"2912.08",9,1,0,-1,0
"2912.08",14,1,1,0,0
"2912.08",16,1,0,-1,0
"2912.08",17,1,0,-1,0
"2923.01",3,1,0,-1,0
"2923.01",4,1,0,-1,0
"2923.01",17,1,0,-1,0
"2932.03",6,1,0,-1,0
"2932.03",8,1,0,-1,0
"2932.03",12,2,1,-1,0
"2932.03",14,1,0,-1,0
"2932.03",15,2,1,-1,0
"2932.03",18,1,1,0,0
"2932.03",19,1,0,-1,0
"2932.03",22,1,0,-1,0
"2951.05",7,2,0,-2,0
"2951.05",11,1,1,0,0
"2951.05",12,1,0,-1,0
"2951.05",13,1,1,0,0
"2951.05",15,2,0,-2,0
"2951.05",18,1,0,-1,0
"2951.05",19,1,0,-1,0
"2951.05",20,1,0,-1,0
"2961.05",13,1,0,-1,0
"2961.05",15,1,0,-1,0
"2961.05",19,1,0,-1,0
"2961.05",20,1,1,0,0
"2971.02",9,1,0,-1,0
"2984.04",8,1,0,-1,0
"2984.04",19,1,0,-1,0
"3000.08",8,1,0,-1,0
"3000.08",10,1,0,-1,0
"3000.08",11,1,1,0,0
"3000.08",13,1,2,1,1
"3000.08",17,1,1,0,0
"3000.08",22,1,3,2,1
"3007.05",10,1,1,0,0
"3007.05",12,1,0,-1,0
"3007.05",15,1,0,-1,0
"3007.05",16,1,1,0,0
"3007.05",18,1,1,0,0
"3007.05",19,2,1,-1,0
"3011.03",9,1,0,-1,0
"3011.03",16,1,1,0,0
"3011.03",18,1,0,-1,0
"3011.03",19,3,0,-3,0
"3022.01",12,1,0,-1,0
"3022.01",17,1,0,-1,0
"3034.02",17,1,0,-1,0
"3034.02",20,1,0,-1,0
"3034.02",22,1,0,-1,0
"3038.08",8,1,0,-1,0
"3038.08",17,2,0,-2,0
"3038.08",19,1,0,-1,0
"3038.08",22,1,2,1,1
"3046.03",7,1,0,-1,0
"3046.03",8,1,0,-1,0
"3046.03",11,2,0,-2,0
"3046.03",14,1,0,-1,0
"3046.03",16,1,0,-1,0
"3050.03",6,1,0,-1,0
"3050.03",12,1,0,-1,0
"3050.03",14,1,1,0,0
"3050.03",17,3,2,-1,0
"3050.03",18,1,3,2,1
"3050.03",19,1,0,-1,0
"3050.03",21,1,0,-1,0
"3056.05",0,1,0,-1,0
"3056.05",6,1,0,-1,0
"3056.05",17,1,0,-1,0
"3056.05",20,1,1,0,0
"3070.04",7,1,0,-1,0
"3070.04",17,1,0,-1,0
"3084.05",0,1,0,-1,0
"3084.05",9,2,1,-1,0
"3084.05",12,1,0,-1,0
"3084.05",14,1,0,-1,0
"3084.05",15,1,0,-1,0
"3090.06",13,1,0,-1,0
"3090.06",15,1,1,0,0
"3090.06",16,1,1,0,0
"3090.06",18,1,1,0,0
"3093.07",8,1,0,-1,0
